alpha 	 VyazovkinE 	 OzawaE 	 FridmanE
0.2	144.067704677582	154.482708593396	95.2455715655022	
0.201	143.831670284271	154.247943150736	95.1065569361826	
0.202	143.596827983856	154.013884503577	95.0096682236002	
0.203	143.362581729889	153.780556414898	90.9381764927051	
0.204	143.128931522369	153.54798802877	80.0860858015737	
0.205	142.798721790314	153.218752352119	77.224521846327	
0.206	142.445266246796	152.866510382719	77.0405169966581	
0.207	142.093598842621	152.516094774366	73.5674236883953	
0.208	141.743719577789	152.167491402995	67.2441475281547	
0.209	141.395628452301	151.82068629152	61.3418435690497	
0.21	141.003429889679	151.429097423855	63.0047574101324	
0.211	140.618979930878	151.045778130762	68.354862659728	
0.212	140.282809734344	150.710983707698	68.2292118112198	
0.213	139.949023723602	150.377878381305	68.0711168389492	
0.214	139.616429805756	150.046415762695	67.9138071154827	
0.215	139.285624027252	149.716583802885	67.7572768302004	
0.216	138.956606388092	149.388370570098	67.6015202307352	
0.217	138.628780841827	149.06176424896	66.3998209400788	
0.218	138.302743434906	148.73675313783	62.386838721796	
0.219	137.943923473358	148.379103380875	62.0769712495922	
0.22	137.586295604706	148.022428398216	61.7978992955343	
0.221	137.230455875397	147.667567970126	61.5507555076109	
0.222	136.876404285431	147.314452242143	61.3951590824005	
0.223	136.524140834808	146.963204914723	61.5203510747088	
0.224	136.173665523529	146.613811358529	64.6953387278774	
0.225	135.833919048309	146.275113705614	71.2777333601963	
0.226	135.544240474701	145.986242540781	72.0456004273284	
0.227	135.263502597809	145.706753536113	71.8940083900267	
0.228	134.983956813812	145.428414862422	71.8097303747966	
0.229	134.706199169159	145.15121983431	71.8102159234986	
0.23	134.429633617401	144.875476898658	71.7219837201499	
0.231	134.154260158539	144.601061866225	74.0027395349855	
0.232	133.879482746124	144.327814037205	82.8523620998394	
0.233	133.661925792694	144.110820654534	86.9315184253585	
0.234	133.479535579681	143.9290169174	86.8044757957397	
0.235	133.297145366669	143.747643486258	86.6777753709602	
0.236	133.115351200104	143.566699359426	86.5514160766764	
0.237	132.934153079987	143.386183533449	86.4416791785908	
0.238	132.752954959869	143.206095005096	86.3806193345579	
0.239	132.572948932648	143.02653170165	86.3142671569917	
0.24	132.392942905426	142.847651566111	82.7729499020238	
0.241	132.213532924652	142.669226478063	74.7544561663118	
0.242	131.994187831879	142.450485002383	68.8470818411908	
0.243	131.72835111618	142.185754567318	68.4262404036938	
0.244	131.461322307587	141.919683601135	68.2917014700998	
0.245	131.195485591888	141.654737866179	68.1577352396507	
0.246	130.930840969086	141.390910290207	68.0243380824373	
0.247	130.666792392731	141.128193858125	67.9482866875371	
0.248	130.404531955719	140.866581614516	68.5999005912461	
0.249	130.143463611603	140.606412676049	70.508026029182	
0.25	129.899084568024	140.362774241273	70.6245870466428	
0.251	129.657089710236	140.122074315365	70.4980845065017	
0.252	129.416286945343	139.882316882503	70.3720776458821	
0.253	129.176676273346	139.643496442223	70.2465635643812	
0.254	128.938257694244	139.405607536485	70.1215393841001	
0.255	128.700435161591	139.168644748722	69.9970022491686	
0.256	128.463208675385	138.932602705894	68.7337179541102	
0.257	128.227174282074	138.697476074996	65.3591881783404	
0.258	127.968490123749	138.439843722076	64.8067925234242	
0.259	127.710998058319	138.183471560125	64.2148096011239	
0.26	127.451717853546	137.925197256563	63.9358932559899	
0.261	127.192437648773	137.666733584697	63.8105351320403	
0.262	126.934349536896	137.409355606188	63.6857051641978	
0.263	126.676857471466	137.153056628599	64.5248793677574	
0.264	126.420557498932	136.897830012912	68.4614632461801	
0.265	126.188099384308	136.665829511087	71.2869256958709	
0.266	125.978887081146	136.457449756771	71.1737467771968	
0.267	125.770270824432	136.249802756423	71.060964619586	
0.268	125.562250614166	136.042884670546	70.8857994472045	
0.269	125.355422496796	135.836691685156	70.6316489182166	
0.27	125.148594379425	135.630945393169	70.4342915828141	
0.271	124.942362308502	135.425550535822	70.6376465518561	
0.272	124.736726284027	135.220866494668	72.7174043024614	
0.273	124.53705072403	135.022033449935	75.6073170735666	
0.274	124.361217021942	134.846810381421	75.3304604330511	
0.275	124.185383319855	134.672094758179	74.8575553095791	
0.276	124.010741710663	134.497884484547	74.3875093537668	
0.277	123.834908008575	134.323034454949	74.0606759740052	
0.278	123.657882213593	134.14690157774	73.9680533778913	
0.279	123.481452465057	133.971282442316	73.9383987689174	
0.28	123.30561876297	133.796246752673	74.1537132436517	
